service_id,date,exception_type
MQ_D5-Sunday,20250901,1
MQ_D5-Sunday,20251127,1
MQ_D5-Sunday,20251225,1
MQ_D5-Sunday,20260101,1
MQ_D5-Weekday-SDon,20251013,2
MQ_D5-Weekday-SDon,20251127,2
MQ_D5-Weekday-SDon,20251128,2
MQ_D5-Weekday-SDon,20251224,2
MQ_D5-Weekday-SDon,20251225,2
MQ_D5-Weekday-SDon,20251226,2
MQ_D5-Weekday-SDon,20251229,2
MQ_D5-Weekday-SDon,20251230,2
MQ_D5-Weekday-SDon,20251231,2
MQ_D5-Weekday-SDon,20260101,2
MQ_D5-Weekday-SDon,20250902,2
MQ_D5-Weekday-SDon,20250903,2
MQ_D5-Weekday-SDon,20250923,2
MQ_D5-Weekday-SDon,20250924,2
MQ_D5-Weekday-SDon,20251002,2
MQ_D5-Weekday-SDon,20251020,2
MQ_D5-Weekday-SDon,20251104,2
MQ_D5-Weekday-SDon,20251111,2
MQ_D5-Weekday-SDon,20260102,2
MQ_D5-Weekday,20250902,1
MQ_D5-Weekday,20250903,1
MQ_D5-Weekday,20250923,1
MQ_D5-Weekday,20250924,1
MQ_D5-Weekday,20251002,1
MQ_D5-Weekday,20251020,1
MQ_D5-Weekday,20251104,1
MQ_D5-Weekday,20251111,1
MQ_D5-Weekday,20260102,1
MQ_O5-Weekday,20251014,2
MQ_O5-Weekday,20251015,2
MQ_O5-Weekday,20251016,2
MQ_O5-Weekday,20251017,2
MQ_O5-Weekday,20251020,2
MQ_O5-Weekday,20251021,2
MQ_O5-Weekday,20251022,2
MQ_O5-Weekday,20251023,2
MQ_O5-Weekday,20251024,2
MQ_O5-Weekday,20251027,2
MQ_O5-Weekday,20251028,2
MQ_O5-Weekday,20251029,2
MQ_O5-Weekday,20251030,2
MQ_O5-Weekday,20251031,2
MQ_O5-Weekday,20251103,2
MQ_O5-Weekday,20251104,2
MQ_O5-Weekday,20251105,2
MQ_O5-Weekday,20251106,2
MQ_O5-Weekday,20251107,2
MQ_O5-Weekday,20251110,2
MQ_O5-Weekday,20251111,2
MQ_O5-Weekday,20251112,2
MQ_O5-Weekday,20251113,2
MQ_O5-Weekday,20251114,2
MQ_O5-Weekday,20251117,2
MQ_O5-Weekday,20251118,2
MQ_O5-Weekday,20251119,2
MQ_O5-Weekday,20251120,2
MQ_O5-Weekday,20251121,2
